rating,date,coment_title,coment_description
4,22 abril 2018,Muy buena vista,"El lago en si es hermoso si se ve desde distancia, al verlo de cerca se puede percibir el descuido principalmente el limpieza."
5,20 abril 2018,Islas flotantes de los Uros,Excelente excursión. Super didactico ya que se puede comprender el funcionamiento de su comunidad. Esta a pocos minutos del puerto de Puno.
5,19 abril 2018,Un regalo de los dioses incas al mundo.,El espejo de agua refleja la majestuosidad del planeta y su riqueza hídrica. Hermoso lugar para ser visitado y vivir la experiencia de navegar en sus aguas. El lago es imponente y el reflejo del sol y las nubes en sus aguas es inolvidable.
5,19 abril 2018,Superó mis espectativas,"No podría comparar las fotos con la experiencia de estar ahí. La visita a la Isla de Taquile fue una gran sorpresa, un lugar mágico, lleno de belleza natural y cultural. No pierdas la oportunidad de descubrirla en tu viaje."
5,9 abril 2018,Alucinante,"Navegarlo es obligatorio si visitas Puno, creo que uno no tiene idea de la magnitud del Lago hasta que esta alli."
1,4 abril 2018,Isla de Uros,"Fuimos a las islas de Uros y es todo un montaje turístico, no parece que viva nadie en esas condiciones. En fin, un negocio más."
5,1 abril 2018,Una experiencia inolvidable,"La isla de los uros, la Isla de Taquile, ... tantos recuerdos que hacen del Lago navegable más alto del mundo un escenario para recordar por siempre."
5,30 marzo 2018,El lago navegable mas alto del mundo,"Es un lugar fantastico, donde puedes encontrar a los pobladores de la zona, llamados los Uros, que se alojan en unas islas flotantes hechas de la vegetacion de la zona. Es extraordinario. Es imposible non visitarlo si se encuentran en Puno, un imperdible."
5,29 marzo 2018,Muy bonito,"Parte del encanto al visitar Puno, cuando vayan van a tener la oportunidad de disfrutar el recorrido e ir a conocer las islas flotantes de los Uros, es muy linda e interesante la experiencia."
5,26 marzo 2018,Hermoso !,"Nos tocó navegar a isla taquile que está como a 1.5 horas del muelle de puno .
El día estaba hermoso , soleado , al agua color azul y se ve inmenso que no pareciera que fuera lago .
Antes de ir a Taquile paramos...Más"
5,25 marzo 2018,Viaje familiar,"El recorrido en barca precioso vimos el poblado de los Uros nos encanto nos endeñaron sus costumbres y como viven, despues compras de lo realizan, y un paseo en sus canoas hechas de totora."
4,13 marzo 2018,Hermoso lago ,"Estuve 1 semana en Puno y principalmente en cerca al lago Titicaca. Qué sin lugar a dudas es un lago impresionante con mucha cultura y biodiversidad, pero hubo un pequeño detalle es cuando visite Uros, en lo absoluto no me agrado ya que parece más...Más"
