rating,date,coment_title,coment_description
5,20 abril 2018,Excelente excursión,Vale la pena la visita a las islas flotantes de los Uros ya que se puede comprender como viven en esa cultura y como construyen su vida sobre el Lago Titicaca.
3,19 abril 2018,Tenia más aspectativas ,"Tuve con emoción a este tour, claro estuve contento de haberlo hecho, pero... no me pareció auténtico, el interés mayor era vender sus productos que eran bastantes mas caros de los mercados en Puno."
2,18 abril 2018,Muy turístico ,Es una visita muy armada. Si bien se visitan comunidades no resulta agradable el trato comercial que se recibe. Las islas flotantes no me parecieron interesantes ni en su construcción.
5,14 abril 2018,Vale la pena,"Leí otras opiniones. Coincido parcialmente. Hay que entender que es una comunidad que coexiste en un país, sin ser ciudadanos de el. Y no esta mal que se explote turisticamente. Muchas familias viven allí, manteniendo una idea ancestral que con el tiempo se ha visto...Más"
3,14 abril 2018,Uros,Un lugar interesante y agradable... Pero el clima estubo lluvioso y no permitio mucho tiempo al aire libre
5,9 abril 2018,"Bonita Experiencia, pero rara.","Bonito, nos toco un buen guía, un grupo simpático. Aunque todos coincidimos que fue algo incomodo compartir con los Uros, porque nada se ve natural, todo muy sobreactuado. No deja de ser una bonita experiencia que si tienen la posibilidad hay que visitarlas."
3,9 abril 2018,Muy comercial,Creo que ya se ha convertido en algo muy comercial y forzado. Es interesante ver como viven pero se fuerza mucho la figura.
5,8 abril 2018,Islas flotantes ,Llegamos a la Ciudad de Puno ..despues de una travesía en camion nocturno desde Cusco la tarifa varia de acuerdo a la premura con la que compras el boleto. Llegamos a Puno a las 4.30 am...afortunadamente nos permitio el hotel nuestro cuarto para asearnos y...Más
5,2 abril 2018,Algo Increible,"Nuestra visita a esta Isla fue lo mejor del Tour guiado, es de verdad increíble la forma en que viven estas personas, la cultura que te comparten, puedes incluso dormir e una de sus casas, a tu llegada te explican un poco sobre la forma...Más"
5,1 abril 2018,Alucinante,Es increíble como el mundo puede ofrecernos culturas tan diversas y genuinas. Una excelente recomendación par asistir!
4,29 marzo 2018,Una forma diferente de vivir,"Me gustó mucho ir a las islas, es ver otra forma de vivir, realmente interesante, algo totalmente particular que creo yo, se puede ver de manera accesible en esta zona del continente, muy interersante"
4,29 marzo 2018,De visita obligatoria en Puno,"Si van a Puno y visitan el Lago Titicaca, tómense el tiempo de contratar un tour y conocer las Islas flotantes de los Uros, en el recorrido se visitan 2 islas y a los lugareños que viven en ellas, es muy interesante y se pueden...Más"
3,28 marzo 2018,Se a convertido en una especie de zoológico humano ,Personalmente no me gusto mucho ya que me desilusiono el ver que actualmente se a transformado en una especie de souvenir donde te venden de todo super caro y te hacen pensar que viven allí... Pero al volver de una excursión a unas islas te...Más
5,26 marzo 2018,Muy pintoresca !!,"Hermosa visita a las islas flotantes , nos explicaron a detalle cómo viven los nativos , que son tan amables y simpáticos , de verdad pasamos una mañana muy agradable .
Nos vistieron con sus ropas para tomarnos fotografías .
Te abre los ojos para...Más"
4,26 marzo 2018,Lindo ,"Muy lindo el intercambio cultural, lo malo todo está enfocado en la compra de artesanía.
Te explican cómo viven cómo se construyen las islas, luego te muestran las casas y ofrecen sus artesanías."
5,21 marzo 2018,Especial,"La isla es bien bonita, no hay mucho que hacer pero si estás en Puno, vale la pena ir a visitarlos para que te enseñen cómo viven."
3,15 marzo 2018,No me gusto,"Lo encontre sobreactuado todo... demasiado enfocado en el turista, no hay esencia, solo les interesa que compres y te vayas... honestamente no lo recomiendo.
Quede descolocada cuando y mujeres, habitantes de las islas, empezaron a cantar ""vamos a la playa... "" mientras nos alejábamos en...Más"
5,14 marzo 2018,Personas Amables,"te reciben muy bien los niños en especial cantando en varios idiomas, muy lindos. el guia nos informo de la cultura del lugar muy interesante y quedamos maravillados por lo que envuelve este lugar."
5,13 marzo 2018,Visita con amigos ,Las islas son como 100 pero visitamos 2 uros es magnifico en especial las islas que están en uros titino ya que se hacen mas cosas y la gente conserva sus tradiciones un paseo en un barco de totora y cortar las raíces de totora...Más
5,9 marzo 2018,Punto de parada imperdible en Puno,"Es la segunda vez que visito las islas y aún me sigue maravillando la forma de vivir de los habitantes de Uros. Te explican cada detalle de la formación de las islas, de las costumbres, forma de vida, etc. Si quieres tener una experiencia más...Más"
2,9 marzo 2018,"Lindo lugar, mal administrado","El lugar en si es raro y muy lindo de conocer , pero una vez que se llega a las islas te tratan de vender productos supuestamente tejido por los locales de forma bastante insistente , la realidad que los mismos tejidos se ven por...Más"
5,6 marzo 2018,Interesante,"es super interesante visitar esta isla, es un paseo corto, pero vale la pena. Para conocer la cultura diferente y un estilo de vida que te dejara impactado. Al menos a nosotros nos paso."
5,6 marzo 2018,Excelente lugar!!,"Muy linda experiencia para toda mi familia. Hermoso lugar para recorrer él Lago Titicaca en las canoas de totoras así como en barcos de excursiones.
Él hotel Tiicaca Lodge Puno lo recomiendo por sus cálidas habitaciones,así como su rica comida. La atención de toda la...Más"
5,5 marzo 2018,Muy lindo,"Desde Puno se pueden tomar barcos para ir hasta las islas flotantes, los lugareños son muy amables y todos venden sus artesanias y se puede navegar en sus barcos tipicos. Recomendable"
3,4 marzo 2018,"Mucho show, poca autenticidad","Si quieres conocer realmente la cultura de los Uros, te desanimarás pues todo lo que hacen es un show actuado para complacer a los turistas, además te pediran dinero constantemente en tips."
4,3 marzo 2018,Atractivo lugar,"Un lugar muy preparado para el turismo , aparte de ellos es magnifica la vista sobre todo la naturaleza un pueblo flotante en la inmensidad del lago. Vale la pena visitarlo"
3,27 febrero 2018,Hermos lugar...,Un lugar hermoso con ambiente tranquilo. Recomendable ir temprano porque no hay mucha gente y no hace frio. Se puede subir a los barcos de totora (costo 10 soles).
5,25 febrero 2018,Muy turístico pero imperdible igual,Es de esos lugares preparados para el turista y donde parece que todo estuviera en función del mismo. Cuando uno puede reponerse de esa sensación es interesante conocer lo que tiene de verdadero esta cultura.
